# id;sud;brojPredmeta;tipKrivicnogDjela;clanKZ;iznos;ranijeOsudjivan;uslovnaOsuda;vrstaPresude;zaposlenost;bracniStatus;kaznaUMjesecima;novcanaKazna;obrazovanje;ukupanIznos;brojTransakcija;brojOkrivljenih;brojSvjedoka;brojDokaza;priznanje;pokusaj;saizvrsilastvo
112;Podgorica;793/11;zloupotreba platnih kartica;čl. 260 st. 2;800.0;nepoznat;Ne;osudjujuca;zaposlen;ozenjen;7.0;0.0;SSS;1717.7;10;1;0;7;ne;ne;ne
113;Podgorica;822/18;falsifikovanje novca;čl. 258 st. 4;100.0;ne;Ne;osudjujuca;nezaposlen;neozenjen;6.0;30.0;SSS;230.0;3;1;0;3;ne;ne;ne
114;Podgorica;827/14;zloupotreba platnih kartica;čl. 260 st. 2;1019.7;ne;Ne;osudjujuca;zaposlen;razveden;8.0;30.0;pismen;5339.7;12;1;1;6;ne;ne;ne
115;Podgorica;83/18;zloupotreba platnih kartica;čl. 260 st. 2;704.46;da;Da;uslovna;nepoznat;ozenjen;6.0;0.0;nepoznat;3137.36;8;1;0;5;ne;ne;ne
116;Kolašin;84/2014;falsifikovanje novca;čl. 258;500.0;nepoznat;Da;uslovna;zaposlen;ozenjen;4.0;0.0;pismen;740.0;4;1;1;6;ne;ne;ne
117;Podgorica;851/20;zloupotreba platnih kartica;čl. 260 st. 2;412.0;ne;Ne;osudjujuca;nepoznat;neozenjen;3.0;30.0;SSS;854.0;4;1;0;3;ne;ne;ne
118;Bar;86/22;zloupotreba platnih kartica;čl. 260;750.66;nepoznat;Ne;osudjujuca;nezaposlen;razveden;0.0;10.0;pismen;818.91;8;1;0;6;ne;ne;ne
119;Podgorica;87/13;falsifikovanje novca;čl. 258;100.0;da;Ne;osudjujuca;nezaposlen;nepoznat;3.0;0.0;SSS;130.0;2;1;0;6;ne;ne;ne
120;Kotor;89/17;zloupotreba platnih kartica;čl. 260 st. 2;800.0;nepoznat;Da;uslovna;nepoznat;ozenjen;3.0;0.0;nepoznat;2583.1;9;3;0;4;ne;ne;ne
121;Bar;89/23;zloupotreba platnih kartica;čl. 260 st. 2;980.0;da;Ne;osudjujuca;nezaposlen;neozenjen;4.0;40.0;pismen;5119.0;18;1;0;3;ne;ne;ne
122;Nikšić;8/22;zloupotreba platnih kartica;čl. 4 st. 2;400.0;ne;Da;uslovna;zaposlen;ozenjen;6.0;27.5;osnovna;1117.5;8;1;0;3;ne;ne;ne
123;Podgorica;954/20;zloupotreba platnih kartica;čl. 260 st. 2;802.5;ne;Da;uslovna;zaposlen;neozenjen;6.0;0.0;SSS;2025.19;10;1;0;7;ne;ne;ne
124;Podgorica;984/20;zloupotreba platnih kartica;čl. 260 st. 2;228.83;nepoznat;Da;uslovna;nepoznat;neozenjen;6.0;0.0;nepoznat;363.63;10;2;0;4;ne;ne;da
125;Podgorica;99/19;zloupotreba platnih kartica;čl. 260 st. 2;500.0;ne;Da;uslovna;nezaposlen;neozenjen;6.0;0.0;SSS;830.0;5;1;0;5;ne;ne;ne
126;Berane;9/12;zloupotreba platnih kartica;čl. 260;220.64;ne;Ne;osudjujuca;nezaposlen;neozenjen;6.0;0.0;SSS;458.93;12;2;0;0;ne;ne;da
